name
60 DEGREES RECRUITMENT LIMITED
ALUMIER EUROPE LIMITED
BARNSLEY FOOTBALL CLUB LIMITED
CARCLO PLC
DEANES FITTED FURNITURE LIMITED
FILTRONIC PLC
GOODWIN & GOODWIN LIMITED
GRAINGER & WORRALL LIMITED
GROUNDHOG (UK) LIMITED
JAMES TAYLOR & SON (ELEPHANT & CASTLE) LIMITED
KENSA HEAT PUMPS LIMITED
KITE PACKAGING LIMITED
LINCOLN CITY FOOTBALL CLUB LIMITED
MIDDLESBROUGH FOOTBALL & ATHLETIC COMPANY (1986) LIMITED
NASMYTH GROUP LIMITED
PLYMOUTH ARGYLE FOOTBALL CLUB LIMITED
SHARPAK BRIDGWATER LIMITED
STOCKPORT COUNTY ASSOCIATION FOOTBALL CLUB LIMITED
SWANSEA CITY ASSOCIATION FOOTBALL CLUB LIMITED
SIDDALL & HILTON PRODUCTS LIMITED
THOR COMPANIES LIMITED
UK GREETINGS LIMITED
SHAKESPHERE PRODUCTS LTD
