name
60 DEGREES LIMITED
A LIMITED
A PLUS ALUMINIUM LIMITED
AAM GROUP (ALLIANCE ASSET MANAGEMENT LTD)
ABL LTD
ABSOLUTE DRINKS SYSTEMS LIMITED
ACCENT FRESH LIMITED
ACDC LTD
ADVANCED ELECTRIC MACHINES LIMITED
ADVANCED FURNITURE LTD
AGILE RETAIL LTD.
ALCON COMPONENTS LTD
ALL FLEET SERVICES LIMITED
ALL PURPOSE LIMITED
ALLSAINTS LTD
AMARIN RUBBER AND PLASTICS LIMITED
AMCANU LTD
ANDREW JAMES UK LTD
AP RACING LIMITED
ASH JOINERY LIMITED
ASHFIELD SPRINGS LIMITED
ASTRA MINING LTD
AVON TIMBER MERCHANTS LIMITED
AXIS AND GLOBE TRAVEL LIMITED
B&S GROUP LTD
BARKLEY PLASTICS LTD
BARKSTON PLASTICS ENGINEERING LIMITED
BEDROOMS BATHROOMS & KITCHENS LIMITED
"BELFAST CELTIC FOOTBALL & ATHLETIC COMPANY, LIMITED"
BENDALLS ENGINEERING LIMITED
BEST AUTOCENTRES LTD
BLAZE MANUFACTURING SOLUTIONS LTD.
BLP (NORTHERN) LIMITED
BLUE GOLD LIMITED
BLUEBEAR LIMITED
BRIDGMAN IBC LIMITED
BRINDISA LIMITED
BROADFIX LIMITED
BROCKLEY STORES LTD
BROOK TAVERNER LIMITED
CANNING CONVEYOR CO LTD
CARCLO PLC
CAREAVAN LTD
CASK ORDERS LTD
CAVE INNOVATIONS LIMITED
CAZAAR LTD
CCR FORMING LTD
CERULEAN WINDS LIMITED
CLASSIC MOTOR CARS LIMITED
CLYDE RECYCLING LTD
CMCA (UK) LIMITED
COLOUR MEASUREMENT LTD
CONKER LIMITED
COOPER RESEARCH TECHNOLOGY LIMITED
COUSINS UK HOLDINGS LIMITED
CROSS-GUARD DCS LIMITED
CRYSTALINK JEWELLERY MANUFACTURING LIMITED
CRYSTALTECH SERVICES (UK) LIMITED
CUPPA CHAI LTD
DEEP OPTICA LIMITED
DELIFONSECA DOCKSIDE LIMITED
DENNYS BRANDS LIMITED
DICK'S EDINBURGH LTD
DICKSONS OF INVERNESS LIMITED
DIRECTA UK LTD
DUCKWORTH GROUP LIMITED
DUDMAN GROUP LIMITED
DUSTRACTION LIMITED
EDEN FARM LIMITED
EHM LTD
ELECTRICAL WORLD LIMITED
ELGIN TRUCK AND VAN CENTRE LIMITED
ELITE FLEXIBLES LIMITED
EMS LIMITED
EUROPLAS PVCU LIMITED
EVERGREEN LIFE LTD
EVOLVE 4 SOLUTIONS LIMITED
EXCURSIONS LTD
EXTRA (UK) LIMITED
FABCO LTD
FAIRVIEW HEALTH LIMITED
FERRANTI TECHNOLOGIES LTD
FLAWLESS FINE JEWELLERY LTD
FOR GOODNESS SHAKES LIMITED
FOTOSPEED LIMITED
FOX TRADING GROUP LTD
FPL LTD
FRESHCOM FOODS LTD
FROM THE ANVIL LIMITED
FULLERS FOODS INTERNATIONAL LIMITED
FUNTIME GIFTS LIMITED
G. WEBB AUTOMATION LIMITED
GALVAN LIMITED
GARNALEX LTD
GEM CRAFT LAPIDARY LIMITED
GK-SIGNS LTD
GLASS DESIGNS LIMITED
GLEANN MOR SPIRITS COMPANY LIMITED
GLIDELINE LIMITED
GLITTERBELS (IRELAND) LTD
GLOBAL FIRE SYSTEMS LTD
GREYLAND LTD
HALLGARTEN & COMPANY LIMITED
HARRY DALBY ENGINEERING LIMITED
HD PLANTS LTD
HDM SOLAR (WHOLESALE) LTD
HELLENIC GROCERY LTD
HENSHAW INFLATABLES LIMITED
HERON MANUFACTURE LTD
HI-TECH FABRICATION LTD
HILSONIC PROCESS SYSTEMS LTD
HIRE SAFE SOLUTIONS LTD
HOBBS PARKER CAR AUCTIONS LLP
HOLLEY HEXTALL LIMITED
HUNPRENCO LTD
HYDRUS GROUP LIMITED
IAH ELECTRONIC INDUSTRIES LTD
IBSL GROUP SERVICES LTD
IDEM SAFETY SWITCHES LIMITED
INSPIRE (STRUCTURES) LIMITED
J&K CONFECTIONERY LTD
JALIN DESIGN LTD
JAMES ALPE LTD
JAMES TAYLOR & SON LIMITED
JAMES WHITE LIMITED
JBC LTD
JKH & PARTNERS LTD
JOE DELUCCI'S LIMITED
JUST TRAYS LTD
"KETLEY BRICK COMPANY,LIMITED(THE)"
KINTECH LIMITED
KOCH TRADING LIMITED
KORBOND INDUSTRIES LIMITED
KTC EDIBLES LTD
LA BANDERA LIMITED
LA TECHNIQUES LIMITED
LAND ENERGY LTD
LAVERSTOKE PARK FARM LIMITED
LEFT HANDED GIANT LTD.
LIBMAN BRANDS UK LTD.
LLORET CARE LTD
LO-DOUGH LIMITED
LONDON TRADITION LTD
LOVE FOOD CIC
LOVE TO EAT LTD
LOVE WATER LIMITED
LOWE & SIMPSON LIMITED
LUXLITE LTD
LUXURY FLOORING LTD
MACFARLANE LABELS LTD
MACLAREN LTD
MAEME'S LIMITED
MAINLINE LTD
MARSTAN PRESS LIMITED(THE)
MASON PEARSON BROS. LIMITED
MASONRY SOLUTIONS LIMITED
MATT AMINOFF LONDON
MCD LTD
MCNAUGHTON DYNAMICS LIMITED
MEGA GLASS LIMITED
MERCIA GARDEN PRODUCTS LIMITED
MILLENNIUM MANUFACTURING GROUP LIMITED
MOBILISE GROUP LIMITED
MOISTURE REDUCTION SYSTEMS LIMITED
MONDO BREWING COMPANY LIMITED
MONKTON ELM GARDEN CENTRE LIMITED
MORLEY GLASS & GLAZING LIMITED
MOTORVOGUE LTD
NAUTILUS RIGGING (UK) LTD.
NEACO LIMITED
NEW WORLD FOODS (EUROPE) LIMITED
NORMANS LIMITED
NORTH WEST PRECISION LIMITED
OFF-PISTE WINES LIMITED
OLD RAILWAY LINE GARDEN CENTRE LIMITED
ONE STOP GROW SHOP LIMITED
